Date,Time_Hour,bike_stands,Available_Bikes,Available_Bike_Stands,Avail_Bike_Changes,Avail_Bikes_Decrease,Avail_Bikes_Increase,Avail_Bike_Stand_Changes,Avail_Stands_Decrease,Avail_Stands_Increase,address,banking,Elevation,Latitude,Longitude,number,Availability,Date_Time,rain,temp,wetb,dewpt,vappr,rhum,msl,Total_Activity,Weight,Total_System_Bikes,DayofWeek,DayWeek_proc,Avg_Avail_Bikes,Avg_Avail_Bike_Change,old_index,demand,newindex,cluster
2019-03-20,1960-01-01 17:00:00,40,35,5,-32,37,5,32,5,37,Guild Street,0,8,53.347932,-6.240928,49,0.875,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,42,6.71,1017,4,Wed,22,-11,392212,13,49,0
2019-03-20,1960-01-01 17:00:00,40,6,34,6,3,9,-6,9,3,George's Lane,0,12,53.35023,-6.279696,50,0.15,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,4.83,1017,4,Wed,9,8,301770,-3,50,0
2019-03-20,1960-01-01 17:00:00,40,0,40,3,1,4,-3,4,1,York Street West,0,15,53.339334,-6.264699,51,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,3.85,1017,4,Wed,9,-1,176220,-9,51,0
2019-03-20,1960-01-01 17:00:00,32,24,8,-22,22,0,22,0,22,York Street East,0,22,53.338755,-6.262003,52,0.75,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,22,4.85,1017,4,Wed,9,-4,32969,15,52,0
2019-03-20,1960-01-01 17:00:00,40,11,29,-11,11,0,11,0,11,Newman House,0,17,53.337132,-6.26059,53,0.275,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,11,3.03,1017,4,Wed,12,-9,300218,-1,53,0
2019-03-20,1960-01-01 17:00:00,33,7,26,-7,7,0,7,0,7,Clonmel Street,0,20,53.336021,-6.26298,54,0.2121212121,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,7,3.06,1017,4,Wed,3,-1,225139,4,54,0
2019-03-20,1960-01-01 17:00:00,36,0,36,0,0,0,0,0,0,Hatch Street,0,18,53.33403,-6.260714,55,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,0,2.91,1017,4,Wed,2,-1,548016,-2,55,0
2019-03-20,1960-01-01 17:00:00,40,4,36,-4,4,0,4,0,4,Mount Street Lower,0,20,53.33796,-6.24153,56,0.1,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,4,7.65,1017,4,Wed,5,2,395881,-1,56,0
2019-03-20,1960-01-01 17:00:00,23,10,13,-9,10,1,9,1,10,Grattan Street,0,9,53.339629,-6.243778,57,0.4347826087,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,11,2.71,1017,4,Wed,5,-3,236413,5,57,0
2019-03-20,1960-01-01 17:00:00,40,4,36,-3,4,1,3,1,4,Sir Patrick's Dun,1,11,53.339218,-6.240642,58,0.1,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,7.8,1017,4,Wed,10,-6,447238,-6,58,0
